127.0.0.1 - - [20/Dec/2024:23:05:42 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:47 -0500] "GET /ExploraPeru/Index.jsp HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:47 -0500] "GET /ExploraPeru/img/iconos/g_icon.png HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:47 -0500] "GET /ExploraPeru/img/iconos/f_icon.png HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:47 -0500] "GET /ExploraPeru/css/login_styles.css HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:47 -0500] "GET /ExploraPeru/css/prev.css HTTP/1.1" 200 239462
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:47 -0500] "GET /ExploraPeru/js/script.js HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:48 -0500] "GET /ExploraPeru/mp4/bg_p.mp4 HTTP/1.1" 206 24822863
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:05:49 -0500] "GET /ExploraPeru/assets/favicon.ico HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:14 -0500] "GET /ExploraPeru/assets/img/logos/PeruExplora.png HTTP/1.1" 200 790488
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:14 -0500] "GET /ExploraPeru/Estilos/Index.css HTTP/1.1" 200 253577
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:14 -0500] "GET /ExploraPeru/assets/img/portfolio/1.webp HTTP/1.1" 200 65768
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:14 -0500] "GET /ExploraPeru/assets/img/portfolio/2.webp HTTP/1.1" 200 39634
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:14 -0500] "GET /ExploraPeru/assets/img/portfolio/3.webp HTTP/1.1" 200 46574
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:14 -0500] "GET /ExploraPeru/assets/img/portfolio/4.webp HTTP/1.1" 200 40860
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:15 -0500] "POST /ExploraPeru/Login HTTP/1.1" 200 62217
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:15 -0500] "GET /ExploraPeru/js/scripts.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/portfolio/5.webp HTTP/1.1" 200 50898
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/portfolio/6.webp HTTP/1.1" 200 35108
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/1.jpg HTTP/1.1" 200 15502
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/4.jpg HTTP/1.1" 200 19896
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/2.jpg HTTP/1.1" 200 14474
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/3.jpg HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/5.jpg HTTP/1.1" 200 12411
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/6.jpg HTTP/1.1" 200 14353
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/7.jpg HTTP/1.1" 200 12744
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/10.jpg HTTP/1.1" 200 9782
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/8.jpg HTTP/1.1" 200 14726
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/9.jpg HTTP/1.1" 200 18832
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/hotel/1.jpg HTTP/1.1" 200 20064
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/Carrusel/11.jpg HTTP/1.1" 200 11716
